Sno,Weight
0,-0.034054495
1,-0.03984554
2,0.018176487
3,-0.026557649
4,0.026485948
5,-0.013148004
6,0.03920456
7,-0.02428419
8,-0.027367817
9,-0.01985189
10,-0.0042694733
11,0.02331276
12,-0.041232757
13,-0.02616604
14,0.037747417
15,0.025555898
16,-0.0574373
17,0.025509892
18,-0.028965544
19,-0.03581672
20,0.013535698
21,0.010786332
22,-0.012042983
23,-0.004070091
24,-0.08394456
25,-0.01161794
26,0.02586145
27,-0.028019605
28,-0.057850793
29,-0.013959656
30,0.05181731
31,0.060033727
32,-0.053751547
33,0.012282635
34,-0.07897166
35,-0.06331633
36,-0.12500037
37,-0.024970269
38,-0.030934636
39,0.023807967
40,-0.02109564
41,0.027981589
42,-0.040802974
43,-0.10407971
44,-0.08907078
45,0.019375324
46,-0.007978776
47,0.0063715884
48,-0.010195881
49,-0.07887999
50,-0.027225634
51,0.018704819
52,0.012991131
53,-0.06669508
54,-0.01362518
55,-0.04386103
56,-0.0750019
57,-0.013662424
58,0.037704613
59,-0.001304031
60,0.0028044132
61,-0.113476746
62,0.023332346
63,0.037678543
64,0.0009964741
65,-0.0040095863
66,-0.018932462
67,-0.012135392
68,-0.049348727
69,-0.078490086
70,-0.05658556
71,0.04427144
72,-0.04887557
73,0.060015075
74,0.049350243
75,0.031922538
76,-0.10342318
77,0.029540231
78,0.0349849
79,-0.039793413
80,0.017365621
81,-0.054602765
82,-0.03379044
83,-0.0017549753
84,-0.05501012
85,0.007106466
86,0.0010280141
87,-0.027216658
88,0.0033429458
89,-0.034506463
90,-0.14605549
91,-0.035733677
92,0.021454124
93,-0.0003063731
94,0.01604346
95,-0.039006643
96,-0.054378435
97,0.027526865
98,-0.04412103
99,0.032889087
100,-0.0411507
101,0.06831358
102,-0.006059995
103,0.02050163
104,-0.028466038
105,0.028834939
106,-0.0053737834
107,0.059128497
108,-0.04891466
109,-0.008872207
110,0.039113414
111,0.032759782
112,-0.018088125
113,0.01523449
114,0.029442402
115,-0.038779
116,-0.0056198263
117,-0.0139379585
118,-0.016992781
119,0.03729865
120,-0.13938645
121,0.019564457
122,-0.028980104
123,-0.0553294
124,0.044514794
125,0.07489255
126,-0.0021051234
127,-0.017310694
128,-0.018566811
129,-0.04411505
130,-0.028963586
131,-0.004967047
132,0.16122024
133,0.06871951
134,-0.038780447
135,0.013069841
136,-0.008109497
137,0.0044432054
138,0.017423036
139,0.1436254
140,0.072076574
141,0.0012649568
142,0.001615144
143,0.06776626
144,0.023325354
145,0.033473495
146,0.0035435876
147,-0.044784535
148,0.10707579
149,0.0025592318
150,0.072332144
151,0.019751435
152,-0.0079776775
153,0.012235837
154,-0.041619748
155,0.06779295
156,0.013550758
157,-0.006076621
158,0.025256393
159,-0.005446072
160,-0.059611376
161,0.087179266
162,0.020073807
163,-0.03982574
164,0.019998658
165,0.09001859
166,-0.01713224
167,0.02477807
168,0.024291208
169,-0.08906413
170,0.0076331985
171,-0.048462782
172,0.054757446
173,-0.21178778
174,0.08906958
175,0.0064206277
176,0.0781093
177,0.060665667
178,0.025878275
179,-0.0529129
180,0.05859575
181,-0.010079091
182,0.15075532
183,-0.123004526
184,0.010886819
185,-0.0063366834
186,0.036456406
187,0.21252045
188,0.025970256
189,0.07698148
190,-0.08106243
191,-0.0033165333
192,0.039126635
193,-0.02082538
194,-0.004734073
195,0.011024728
196,-0.0049910024
197,-0.1234971
198,-0.055050105
199,-0.12072197
200,0.0475468
201,0.0008574255
202,0.035456985
203,-0.0025921306
204,0.041877184
205,0.001100484
206,-0.063627
207,0.0709372
208,0.054394398
209,0.07136734
210,0.027009912
211,0.009134207
212,-0.023240713
213,0.020703109
214,0.10891468
215,0.076804034
216,-0.026323162
217,0.03733132
218,-0.03364921
219,-0.0078118485
220,0.03406188
221,-0.068018466
222,0.016055306
223,0.0457252
224,-0.009609874
225,-0.16251627
226,-0.17872077
227,-0.035609435
228,-0.03510531
229,0.08962883
230,0.024287656
231,0.011665433
232,0.10053221
233,0.045257963
234,-0.0049806745
235,0.08777345
236,0.056290206
237,0.08424259
238,0.015112129
239,-0.28057805
240,-0.022149632
241,-0.019101491
242,-0.10072486
243,-0.03548128
244,0.099625826
245,-0.054941047
246,0.057386164
247,-0.15671012
248,0.01725524
249,-0.045556787
250,0.06863475
251,0.065121956
252,-0.11989971
253,-0.0071355347
254,0.032986496
255,0.0006913322
256,-0.0013766977
257,-0.075524375
258,0.029358521
259,-0.023548676
260,0.003941062
261,-0.039530125
262,-0.023850376
263,0.036891427
264,-0.057873007
265,-0.025423227
266,0.018429914
267,0.0076198354
268,0.03373957
269,-0.014434759
270,-0.027747624
271,-0.019740192
272,0.0040413653
273,0.06502054
274,-0.013945109
275,-0.02192576
276,-0.0066358927
277,0.0016568159
278,-0.05025188
279,-0.0035615545
280,-0.022893783
281,-0.012033667
282,-0.00097125425
283,-0.05394113
284,-0.04298075
285,0.0069166883
286,-0.037763216
287,0.030655533
288,-0.02231836
289,0.024268351
290,-0.056921378
291,-0.008832649
292,0.023256542
293,-0.0451174
294,-0.0005866181
295,-0.0096610105
296,-0.041114695
297,0.020269344
298,0.00426897
299,-0.029078739
300,-0.07673041
301,0.0028591733
302,-0.026845293
303,-0.0034741352
304,0.039962187
305,-0.06695005
306,0.0047933585
307,0.034496617
308,0.008222487
309,-0.021661822
310,0.0074482798
311,0.023700234
312,-0.060141947
313,-0.05092581
314,-0.03587641
315,-0.019788342
316,-0.003438513
317,-0.038116317
318,0.0077992654
319,-0.051869415
320,-0.060995698
321,-0.016517805
322,-0.0013027301
323,-0.0034258
324,0.009103545
325,-0.042399783
326,-0.070120424
327,0.033886164
328,0.046712883
329,0.019777881
330,-0.020749263
331,0.02384892
332,-0.047419377
333,-0.01157212
334,-0.0032233605
335,-0.011361224
336,0.00045537128
337,0.039251387
338,-0.049293227
339,0.028221518
340,-0.062832154
341,0.033764817
342,-0.010451654
343,-0.071861304
344,-0.029732378
345,0.039399404
346,-0.047205187
347,-0.045987017
348,-0.056201834
349,-0.023658162
350,-0.0312062
351,-0.048496097
352,-0.009686014
353,0.0073266756
354,0.013191579
355,0.05616138
356,-0.08043128
357,-0.0047693695
358,-0.02059553
359,-0.044191014
360,-0.016323052
361,-0.044666808
362,-0.0072839684
363,-0.033302195
364,-0.039467663
365,-0.026668776
366,-0.03726702
367,0.03179882
368,-0.027736017
369,-0.016177652
370,0.00393284
371,-0.01700976
372,-0.026270878
373,-0.11525929
374,-0.024884922
375,-0.011472627
376,0.038202073
377,-0.04014577
378,0.0054193316
379,-0.03780814
380,0.0009640309
381,-0.018353634
382,-0.0036206103
383,0.014315974
384,-0.00952969
385,-0.011672742
386,-0.030517444
387,-0.036363337
388,-0.027161103
389,-0.06504862
390,0.0068884785
391,-0.0019743731
392,-0.032420926
393,-0.046649046
394,-0.041662112
395,-0.0089653125
396,-0.019737719
397,-0.044315327
398,0.02204951
399,0.03658954
400,-0.010337763
401,-0.035849303
402,-0.061816785
403,-0.01999754
404,-0.027852172
405,0.001256822
406,-0.0942993
407,-0.021960821
408,-0.0811525
409,0.002310661
410,-0.0045340136
411,-0.0023168984
412,-0.043881647
413,-0.018052796
414,-0.0076304437
415,0.017489882
416,-0.063312456
417,-0.101271026
418,-0.01200059
419,-0.060124617
420,-0.03488562
421,-0.07150442
422,-0.022920035
423,-0.12905791
424,-0.052484248
425,-0.0061492207
426,-0.037494976
427,-0.0039491826
428,0.019327968
429,0.028826624
430,-0.030690541
431,-0.004107015
432,-0.02468524
433,-0.062907875
434,-0.03947857
435,-0.08120825
436,-0.033108138
437,0.013195132
438,-0.059979662
439,-0.039564665
440,-0.07403196
441,-0.02435997
442,-0.029779753
443,-0.028002022
444,-0.029506696
445,-0.036775626
446,0.011842314
447,-0.030918233
448,-0.0030514083
449,-0.03750315
450,-0.015808914
451,-0.0102878595
452,-0.10805044
453,-0.039599713
454,-0.0490733
455,0.02301746
456,-0.04068175
457,-0.0651531
458,-0.008037667
459,-0.041806422
460,-0.11624828
461,-0.031675722
462,0.032919146
463,-0.1082217
464,-0.011139907
465,-0.03710551
466,-0.026706623
467,-0.0018005525
468,-0.03287207
469,-0.035558805
470,-0.001570979
471,-0.09190753
472,-0.047107708
473,-0.057486165
474,-0.031371534
475,-0.08401146
476,-0.0010388755
477,0.018373737
478,-0.029960198
479,-0.026712248
480,-0.04618861
481,0.013581811
482,-0.03500742
483,-0.084807746
484,-0.048127472
485,-0.011525149
486,0.011330567
487,-0.024238333
488,0.015606909
489,-0.07511501
490,-0.021615462
491,-0.007149707
492,-0.07299364
493,-0.017490927
494,-0.021313116
495,0.018804893
496,-0.0032134855
497,-0.085439295
498,-0.0008419172
499,0.026192065
500,-0.035988774
501,-0.06881993
502,-0.046011142
503,-0.021009285
504,-0.008380564
505,-0.007657226
506,0.0068137813
507,-0.11720285
508,0.035760947
509,-0.014214917
510,-0.16288634
511,0.004605669
512,-0.025808118
513,-0.08761908
514,-0.041963127
515,-0.039072398
516,-0.040409572
517,-0.0121641
518,0.040420264
519,0.008365099
520,-0.06736483
521,0.03348157
522,0.005544926
523,-0.03954424
524,-0.018264594
525,-0.022444168
526,0.020540083
527,0.02650666
528,-0.11202851
529,0.019333461
530,-0.00070892164
531,0.010957071
532,-0.064186014
533,-0.0011345862
534,-0.003419971
535,-0.042956285
536,-0.0882225
537,0.010731915
538,-0.014388505
539,-0.05403833
540,-0.051992726
541,-0.018650746
542,-0.07815888
543,-0.058921047
544,-0.015100437
545,0.03254303
546,-0.03486716
547,0.022511069
548,-0.07564311
549,0.05377898
550,-0.027140222
551,-0.051227193
552,-0.05959732
553,0.070575766
554,-0.057799015
555,-0.07105167
556,-0.038501665
557,0.04514224
558,0.037128143
559,0.000267466
560,-0.0145616885
561,-0.03875683
562,-0.01871486
563,0.01698396
564,-0.052551612
565,0.012604462
566,-0.058524307
567,-0.048875056
568,-0.059279025
569,-0.011365161
570,-0.0049651857
571,-0.049306374
572,-0.0056746784
573,-0.045767684
574,0.046956547
575,-0.015888924
576,-0.11818821
577,-0.040795274
578,-0.038199283
579,-0.020714754
580,0.020396596
581,-0.06185734
582,-0.14222166
583,0.056572955
584,0.02346819
585,-0.08327589
586,-0.03761481
587,0.0022960645
588,0.016631795
589,-0.009416736
590,0.063124694
591,0.035495516
592,-0.08967203
593,-0.05025581
594,-0.003021755
595,-0.0024357585
596,-0.056396127
597,0.0046753
598,-0.02420609
599,-0.059057686
600,0.0049974434
601,0.009660764
602,-0.09996263
603,-0.03478271
604,-0.07509221
605,0.019159032
606,-0.024771271
607,-0.041793574
608,-0.06599608
609,0.0776885
610,-0.06071346
611,0.012090063
612,-0.10767482
613,-0.07319424
614,0.03628028
615,-0.105427206
616,-0.0107660815
617,-0.012517908
618,0.03275537
619,-0.049740113
620,0.041132767
621,0.049024623
622,-0.08494442
623,0.04852257
624,-0.04959011
625,-0.09860881
626,0.05553481
627,-0.08532703
628,0.037740152
629,-0.107512936
630,0.05006679
631,0.0225757
632,-0.068377756
633,0.011629089
634,-0.022410246
635,0.036545128
636,0.05716327
637,-0.054319985
638,0.005990016
639,-0.0015992166
640,-0.008347761
641,0.018881075
642,-0.007865169
643,0.013620217
644,-0.08758244
645,-0.015828593
646,-0.0001902879
647,-0.03710505
648,0.006609915
649,-0.011621576
650,0.009082128
651,-0.0918802
652,0.019489078
653,-0.0066918395
654,-0.03168254
655,0.0371121
656,-0.001754294
657,0.02402899
658,-0.017574541
659,0.004196399
660,-0.06220357
661,-0.004240328
662,0.012121349
663,-0.02780577
664,-0.01765295
665,-0.04003619
666,-0.0018017314
667,0.02561821
668,0.0029949942
669,-0.012413769
670,-0.07507029
671,0.00483309
672,0.026811063
673,0.0349175
674,0.0055154976
675,-0.01744757
676,0.0066443435
677,0.042318054
678,-0.014383715
679,-0.078725815
680,-0.008203092
681,0.02872982
682,-0.014235591
683,-0.0033343146
684,0.0021317902
685,0.019069776
686,0.06311918
687,0.0060913204
688,0.022807786
689,0.009118026
690,-0.027116992
691,0.026277505
692,-0.038648423
693,0.000101562044
694,-0.023258558
695,-0.034960777
696,-0.015379113
697,-0.017542515
698,-0.05750281
699,-0.037928365
700,0.035523478
701,0.009644216
702,0.029073993
703,-0.0036404324
704,-0.09290858
705,-0.023140766
706,0.017133921
707,-0.031747837
708,0.049121458
709,0.0029943213
710,-0.040418725
711,0.017483775
712,0.011208764
713,-0.020470858
714,-0.0376106
715,0.012617012
716,0.033196572
717,-0.043509312
718,0.023067264
719,0.046297833
720,-0.07133118
721,0.0144313965
722,0.020855892
723,0.021478672
724,-0.038163196
725,0.023253838
726,-0.01833879
727,-0.034108896
728,-0.024437787
729,0.0198637
730,-0.023341218
731,-0.025183927
732,-0.08229499
733,-0.0050688554
734,-0.010484098
735,0.023384398
736,-0.037329163
737,0.005220825
738,-0.0063310843
739,0.006034889
740,-0.012459969
741,-0.066100486
742,0.0671245
743,-0.06775598
744,0.022947202
745,0.0051513067
746,-0.011751138
747,-0.019795835
748,0.068341084
749,0.058831867
750,-0.05229014
751,0.023256298
752,-0.031035367
753,-0.06974866
754,0.038138706
755,-0.0816767
756,0.029945003
757,-0.0054767346
758,0.05697143
759,-0.020310013
760,-0.014795445
761,0.029277332
762,-0.022276172
763,0.047902733
764,0.029600192
765,-0.04786301
766,0.018185355
767,0.0014951066
768,0.010151375
769,0.039120052
770,-0.013445212
771,-0.022927195
772,-0.0163262
773,-0.023880478
774,0.023388749
775,-0.024170248
776,-0.0026188188
777,0.049988233
778,0.029457238
779,0.053598635
780,0.010891814
781,-0.00484064
782,0.023532616
783,0.036723677
784,0.071577206
785,0.025864244
786,0.005763483
787,-0.0071523366
788,0.019442113
789,0.006141716
790,-0.012858651
791,0.010196009
792,-0.011275139
793,0.040316183
794,0.007377807
795,0.02509339
796,0.008936309
797,-0.009772379
798,-0.017519493
799,0.048768252
800,0.04602733
801,0.02208495
802,0.012104617
803,-0.019416938
804,0.046789873
805,-0.014310636
806,-0.007407981
807,-0.022476904
808,-0.004894775
809,0.0052790185
810,-0.0012485681
811,-0.0103201475
812,-0.0856833
813,0.04156503
814,-0.023275374
815,0.010465248
816,-0.01825629
817,0.007349741
818,0.014721901
819,-0.025749294
820,0.031568494
821,0.10314332
822,0.017514642
823,0.020883135
824,-0.021373043
825,0.05068171
826,-0.022724567
827,0.013345591
828,-0.035618685
829,0.020719197
830,-0.0030162283
831,0.049659654
832,-0.03778878
833,-0.0066768904
834,0.014728986
835,0.0318974
836,-0.02397968
837,-0.008276297
838,-0.068760894
839,0.02796635
840,-0.0017149068
841,0.018691607
842,0.013153921
843,-0.019977408
844,0.013692587
845,0.0055785193
846,0.032680552
847,0.04011751
848,0.014864975
849,-0.08975686
850,-0.04455435
851,0.055734824
852,-0.02332808
853,0.03963017
854,0.07985554
855,-0.00839505
856,-0.009543632
857,0.014434091
858,0.005892155
859,-0.00564446
860,-0.030747844
861,0.048655808
862,0.0043724147
863,0.023759488
864,0.0019460481
865,0.041839637
866,-0.0015089416
867,-0.07566366
868,0.01881488
869,-0.009328169
870,-0.025534501
871,-0.023947556
872,-0.036522035
873,0.010498588
874,-0.029503634
875,-0.00012760016
876,-0.038260777
877,-0.0261095
878,-0.013354431
879,0.02800425
880,-0.010387145
881,-0.007987442
882,0.030562732
883,-0.057655815
884,-0.03269233
885,-0.040392037
886,-0.029588299
887,0.023449643
888,-0.008569973
889,0.007815736
890,0.009374853
891,-0.025720697
892,0.039692994
893,-0.023496578
894,-0.0056502065
895,-0.009945178
896,0.021539386
897,-0.04019941
898,-0.015107615
899,0.004409948
900,-0.053523198
901,-0.11150458
902,0.0009300534
903,-0.020374537
904,-0.06242105
905,0.06477285
906,-0.0069669564
907,-0.04797364
908,-0.019679938
909,-0.022327134
910,-0.016557336
911,0.004509952
912,-0.07887701
913,-0.00486593
914,-0.037774604
915,0.00057892
916,-0.047476374
917,0.005354417
918,-0.01950216
919,-0.034281828
920,-0.046717837
921,0.009690757
922,-0.022807077
923,-0.05164801
924,-0.116003715
925,-0.0075055226
926,-0.027654348
927,0.0014164108
928,0.12173155
929,-0.026418732
930,-0.03901558
931,-0.118359186
932,-0.018127782
933,-4.9473703e-05
934,0.08597738
935,0.12873521
936,-0.034031518
937,0.032985453
938,0.037915
939,-0.0032884385
940,0.0035958623
941,0.03363819
942,-0.027022341
943,0.0040610745
944,-0.017712638
945,-0.0541082
946,-0.034018517
947,-0.062250767
948,-0.06382681
949,0.043643247
950,-0.057326198
951,-0.031056494
952,-0.0213918
953,-0.035421696
954,-0.017757108
955,-0.05920047
956,0.025314964
957,-0.11287211
958,-0.009198447
959,-0.0798761
960,-0.026671465
961,0.039453343
962,0.001989559
963,0.0045231483
964,-0.008910011
965,0.0038416253
966,-0.040942922
967,0.026569568
968,-0.020030182
969,-0.011521888
970,-0.030988805
971,-0.032421686
972,-0.05625813
973,-0.043178055
974,0.043283433
975,-0.055038672
976,-0.03697576
977,0.02771172
978,0.040025637
979,-0.0013517232
980,-0.029373802
981,0.006658709
982,-0.06751051
983,-0.050324205
984,-0.024155604
985,-0.039008033
986,-0.074104495
987,-0.07792589
988,-0.035418026
989,0.024628459
990,-0.05899026
991,-0.08486389
992,-0.035912763
993,-0.009132415
994,-0.02701906
995,-0.031987328
996,-0.04674149
997,-0.056407433
998,-0.023962969
999,-0.023196183
1000,0.034641676
1001,-0.0574922
1002,0.09640044
1003,-0.04095006
1004,-0.028909024
1005,-0.013396599
1006,-0.00949155
1007,0.021418042
1008,-0.0444749
1009,0.128439
1010,0.036818627
1011,-0.027169049
1012,0.005719656
1013,-0.008919763
1014,-0.017470608
1015,0.014392241
1016,0.01895645
1017,-0.034891665
1018,-0.04961428
1019,0.015538249
1020,0.025061863
1021,-0.055021007
1022,-0.048940387
1023,-0.0028370342
1024,-0.020064935
1025,-0.0002237488
1026,-0.029224424
1027,0.01736914
1028,-0.06970106
1029,-0.007976635
1030,0.038343474
1031,-0.028072268
1032,0.002423818
1033,-0.0037412765
1034,-0.019629586
1035,-0.06717762
1036,0.0035168158
1037,0.029603658
1038,0.02780449
1039,0.009200294
1040,-0.097621426
1041,0.007143675
1042,0.024451887
1043,0.01230735
1044,-0.06396771
1045,-0.0074563455
1046,0.03121791
1047,-0.0623438
1048,0.03496912
1049,-0.035846703
1050,-0.012370282
1051,0.060000658
1052,0.028379753
1053,-0.0064499495
1054,-0.05630439
1055,-0.04646957
1056,0.0029959315
1057,0.029657986
1058,-0.044933118
1059,-0.002707694
1060,-0.055820026
1061,0.024213208
1062,0.012448792
1063,-0.071097605
1064,0.0076827374
1065,0.036847647
1066,-0.04260916
1067,-0.07538439
1068,-0.053563036
1069,0.049140047
1070,0.009823083
1071,0.0014117886
1072,0.00545464
1073,0.025946336
1074,-0.035038136
1075,-0.028948052
1076,-0.072958045
1077,0.0027283658
1078,-0.029132092
1079,-0.029911965
1080,0.02808609
1081,-0.00456435
1082,-0.0060385084
1083,-0.023835367
1084,-0.0014673544
1085,0.04205304
1086,0.062412594
1087,-0.008008008
1088,-0.06909521
1089,-0.030760637
1090,-0.028400898
1091,0.008227514
1092,0.057482854
1093,0.018751277
1094,-0.0005031748
1095,0.073840275
1096,-0.0021037196
1097,-0.068235055
1098,-0.052846726
1099,-0.009584729
1100,0.026696432
1101,-0.052879542
1102,0.051396925
1103,0.035100825
1104,-0.06110844
1105,-0.08747651
1106,0.004242099
1107,0.005730604
1108,-0.06868534
1109,0.0024425553
1110,-0.0067169215
1111,-0.044219024
1112,-0.020657409
1113,-0.015709944
1114,0.018675497
1115,-0.00056219386
1116,-0.059909012
1117,0.026744131
1118,-0.008781798
1119,0.034943428
1120,-0.022914968
1121,0.046681467
1122,-0.07033228
1123,-0.0011948117
1124,0.025252962
1125,-0.045306593
1126,0.041954443
1127,-0.061700135
1128,0.026213441
1129,0.010652405
1130,-0.0114948135
1131,-0.051387955
1132,0.03209747
1133,0.046650983
1134,-0.053483054
1135,0.051346127
1136,-0.024148583
1137,-0.06509734
1138,0.061773323
1139,-0.11658218
1140,0.027554128
1141,0.035499357
1142,0.03525237
1143,0.009042571
1144,-0.08337713
1145,0.03380827
1146,-0.0056679025
1147,0.036634453
1148,0.04140639
1149,-0.030833526
1150,0.03149919
1151,-0.0055843587
1152,0.011968742
1153,-0.034697145
1154,0.08683753
1155,-0.08151337
1156,0.039495815
1157,-0.0060988083
1158,-0.00534888
1159,-0.029794868
1160,-0.0148959365
1161,0.022330724
1162,-0.042889513
1163,-0.02354377
1164,-0.0017348926
1165,-0.08290074
1166,-0.06506078
1167,0.053490255
1168,0.041100927
1169,-0.056776635
1170,-0.048718985
1171,-0.008159086
1172,0.04156318
1173,0.0016620867
1174,-0.016470259
1175,0.00429901
1176,-0.0629961
1177,0.06113613
1178,-0.2271441
1179,-0.051873248
1180,-0.0081141265
1181,-0.005678337
1182,0.087525494
1183,0.07398274
1184,-0.036487572
1185,0.062105272
1186,0.04829792
1187,-0.05537392
1188,0.061623402
1189,-0.017909806
1190,-0.042130783
1191,-0.102287106
1192,-0.06753325
1193,-0.031169096
1194,0.033049557
1195,-0.0028353517
1196,0.012383547
1197,-0.104899004
1198,-0.04881249
1199,-0.003944762
1200,0.015151454
1201,-0.095001556
1202,0.036625125
1203,-0.061559353
1204,0.013601341
1205,-0.028339384
1206,-0.011048838
1207,0.024027586
1208,-0.067095436
1209,-0.0041397656
1210,-0.006329378
1211,-0.009293006
1212,-0.00399208
1213,-0.0660139
1214,-0.098298565
1215,0.04636333
1216,0.102510184
1217,0.041938197
1218,-0.013126011
1219,0.004774887
1220,-0.09818103
1221,-0.057261255
1222,-0.016863933
1223,-0.023730975
1224,-0.03970715
1225,-0.09987976
1226,0.04653873
1227,-0.04558361
1228,-0.10444415
1229,0.102347486
1230,-0.042864133
1231,-0.078639306
1232,0.06709195
1233,-0.12929599
1234,-0.0004967032
1235,-0.026159318
1236,-0.018512227
1237,-0.05607854
1238,-0.027349181
1239,-0.037476406
1240,-0.0074956417
1241,-0.057161983
1242,-0.085107066
1243,-0.06823514
1244,0.07214858
1245,-0.14775254
1246,0.011641605
1247,-0.038495865
1248,0.02174464
1249,-0.011929158
1250,-0.08770631
1251,-0.1023943
1252,-0.029252395
1253,0.06344263
1254,-0.10255032
1255,0.0779201
1256,-0.01997773
1257,0.013391956
1258,0.043794483
1259,0.09472309
1260,-0.07710146
1261,-0.04903086
1262,0.07472508
1263,-0.011899902
1264,-0.018996933
1265,0.045131072
1266,-0.053605024
1267,-0.003112345
1268,-0.04756589
1269,-0.022301165
1270,-0.04535897
1271,-0.112806365
1272,0.012574058
1273,-0.06998832
1274,-0.15370949
1275,-0.08342014
1276,-0.042276204
1277,0.08598538
1278,-0.017521935
1279,0.008880798
1280,0.037751544
1281,0.022808887
1282,0.15452775
1283,-0.046197392
1284,0.03020315
1285,0.00020720217
1286,0.06800156
1287,-0.0060589723
1288,0.030592203
1289,0.14413436
1290,-0.20412631
1291,0.03192962
1292,-0.07361651
1293,-0.0019003332
1294,0.04330018
1295,0.0066017867
1296,0.017080104
1297,-0.068669155
1298,0.022537582
1299,-0.025267579
1300,0.0071276743
1301,0.0056356047
1302,0.033628706
1303,0.01829498
1304,0.009510142
1305,-0.08159084
1306,0.08715986
1307,-0.011719297
1308,0.03146666
1309,-0.0011877911
1310,0.13101722
1311,0.049600244
1312,0.055492148
1313,0.01082215
1314,-0.029126732
1315,0.0012163771
1316,-0.04457008
1317,-0.041269068
1318,0.001299997
1319,-0.010867332
1320,0.022986026
1321,0.041419286
1322,0.007913157
1323,-0.014672047
1324,-0.07200937
1325,0.040887278
1326,-0.03507889
1327,0.0056908587
1328,-0.0670082
1329,0.014884326
1330,-0.010015885
1331,0.05302228
1332,0.023623448
1333,0.0091386605
1334,0.017353924
1335,0.099153176
1336,-0.02833686
1337,0.08012614
1338,0.048313696
1339,-0.019478938
1340,-0.025625808
1341,0.044947416
1342,0.011278359
1343,0.009987085
1344,0.07008728
1345,0.07928545
1346,-0.0351119
1347,-0.00016325452
1348,0.019062443
1349,-0.03471832
1350,-0.0039489223
1351,0.016684122
1352,0.006759141
1353,-0.06947008
1354,0.12221253
1355,-0.044127647
1356,-0.018619427
1357,0.085721396
1358,0.04302912
1359,0.03789181
1360,0.07572878
1361,-0.07758332
1362,-0.0075267637
1363,-0.17630953
1364,0.01256246
1365,-0.12251128
1366,0.004448367
1367,0.01116361
1368,0.06621735
1369,-0.14118256
1370,0.02712488
1371,0.0060627917
1372,0.10349391
1373,0.05242003
1374,-0.047384515
1375,0.01601577
1376,0.032425527
1377,0.05044161
1378,-0.109866396
1379,0.03663852
1380,0.04425644
1381,0.1335481
1382,-0.028778661
1383,0.09846143
1384,-0.008263956
1385,0.011076695
1386,0.12915377
1387,0.08955078
1388,-0.08256753
1389,-0.032280907
1390,0.115123376
1391,0.048755705
1392,-0.006672655
1393,0.020392854
1394,0.033478875
1395,0.008603805
1396,-0.056880932
1397,-0.012452712
1398,-0.037356663
1399,0.07807937
1400,-0.05254588
1401,-0.005085612
1402,-0.03995574
1403,-0.05533128
1404,0.019546352
1405,0.13160016
1406,0.0022130918
1407,-0.0009167399
1408,0.018065795
1409,-0.06427074
1410,-0.013870942
1411,-0.019376196
1412,-0.081470035
1413,-0.022398995
1414,-0.021885116
1415,-0.04311909
1416,-0.06467545
1417,-0.017286241
1418,0.020083146
1419,-0.06347102
1420,0.029224021
1421,-0.021587715
1422,-0.06939703
1423,-0.007192649
1424,-0.038490802
1425,0.011157993
1426,-0.026871674
1427,-0.027684245
1428,-0.04161829
1429,0.0034841348
1430,0.0156119205
1431,0.008095911
1432,-0.010215346
1433,-0.03271722
1434,-0.052638873
1435,0.030906461
1436,0.002092414
1437,-0.014994648
1438,-0.066809654
1439,0.008044042
1440,-0.0020213702
1441,0.036248907
1442,-0.0022436331
1443,-0.034777425
1444,0.031245861
1445,0.0010642649
1446,-0.0017719204
1447,-0.04424578
1448,-0.027228788
1449,-0.012898732
1450,0.022915192
1451,-0.021117263
1452,0.004042488
1453,-0.011081508
1454,0.012480175
1455,-0.004515567
1456,0.03982801
1457,-0.033567257
1458,0.038588155
1459,-0.0030677905
1460,0.0008310963
1461,0.017329386
1462,-0.018906973
1463,-0.04526634
1464,-0.0069175255
1465,-0.031260405
1466,-0.036753863
1467,-0.06931779
1468,0.030191537
1469,-0.0002526762
1470,-0.053916678
1471,-0.030094348
1472,-0.053374607
1473,0.013759066
1474,0.0076226336
1475,0.03431489
1476,-0.013741481
1477,0.016868263
1478,-0.023245094
1479,-0.0041436283
1480,-0.0014204755
1481,0.012217301
1482,-0.024467593
1483,-0.020196553
1484,-0.02287134
1485,-0.06985696
1486,0.0017171137
1487,-0.007956637
1488,-0.04904365
1489,0.029882705
1490,-0.01475784
1491,0.03698874
1492,-0.04849925
1493,0.0055442695
1494,-0.04085569
1495,-0.054902878
1496,-0.015271562
1497,0.05567904
1498,-0.014308001
1499,-0.043449588
1500,-0.050637685
1501,-0.031012466
1502,-0.023314921
1503,-0.02004833
1504,-0.0021234532
1505,-0.014811994
1506,-0.03629895
1507,-0.028193466
1508,0.015343686
1509,-0.07794208
1510,-0.009813657
1511,-0.0510068
1512,0.014343383
1513,-0.015269815
1514,-0.01720465
1515,-0.054580975
1516,0.001037755
