Sno,Weight
0,0.0075325137
1,-0.02052348
2,0.013062298
3,0.04163577
4,0.052615184
5,0.045736447
6,0.02245495
7,0.043622714
8,0.04578523
9,-0.02375609
10,-0.0526422
11,0.026088754
12,0.021518575
13,-0.049887165
14,-0.034991644
15,-0.045074046
16,-0.015828367
17,0.034622576
18,0.03737278
19,0.032034643
20,0.032989044
21,-0.0027294168
22,0.016682785
23,-0.004701837
24,0.060198423
25,0.0035310097
26,-0.09545868
27,-0.056977984
28,-0.025212038
29,-0.07098905
30,0.006369523
31,-0.02660034
32,-0.018422088
33,-0.0066570337
34,0.024784962
35,0.045567352
36,-0.0079652285
37,0.023584055
38,-0.010667855
39,-0.06575797
40,0.005649192
41,0.021588447
42,-0.016419107
43,0.036402367
44,0.02666492
45,0.03663595
46,0.0069985287
47,-0.068964444
48,0.04360295
49,-0.0146503905
50,-0.007459931
51,0.02390867
52,0.010779878
53,0.016827751
54,0.010338959
55,0.011998884
56,0.02586216
57,-0.036579724
58,0.046263006
59,0.047295757
60,0.02056268
61,-0.06545856
62,-0.07010472
63,-0.02606186
64,-0.047666475
65,-0.011209529
66,0.008603439
67,-0.02040157
68,0.017375482
69,-0.04470591
70,0.0102609685
71,0.02768052
72,-0.0019691251
73,-0.049246218
74,0.06338662
75,-0.05359571
76,-0.0035530203
77,0.0097696725
78,0.0052275457
79,-0.015454246
80,0.024388555
81,-0.05097379
82,-0.030864852
83,0.026329834
84,0.038736902
85,0.011000498
86,-0.09840846
87,-0.002565411
88,-0.060531758
89,0.040391784
90,-0.017736422
91,0.049103454
92,0.03495088
93,-0.03696741
94,0.019777667
95,0.06950689
96,0.033446897
97,-0.034763467
98,0.029997269
99,0.0029214958
100,0.015481501
101,-0.049530808
102,0.005675198
103,0.018383723
104,0.021224279
105,-0.0097334245
106,-0.038864825
107,0.033364117
108,-0.029816693
109,0.026944837
110,0.0017934438
111,0.016590267
112,-0.06985745
113,0.0025369267
114,-0.0037009642
115,0.06498204
116,-0.047388382
117,-0.02750916
118,-0.010870754
119,0.057939764
120,0.01601028
121,-0.057948727
122,0.021873409
123,-0.022809884
124,0.06402082
125,0.0053046867
126,-0.026828531
127,0.04634555
128,0.055151425
129,0.06789121
130,-0.048619002
131,0.017363252
132,0.01964989
133,0.027153166
134,-0.036746055
135,0.049343355
136,0.054372035
137,0.028710786
138,-0.052975766
139,0.021106448
140,0.04467541
141,0.04654872
142,-0.042826246
143,0.04403413
144,0.060132574
145,0.04848076
146,0.046005365
147,0.041303817
148,-0.047500905
149,0.00999885
150,0.030518552
151,-0.052632663
152,0.024403691
153,0.018932046
154,0.023293355
155,0.05719763
156,-0.0048174676
157,-0.07093646
158,0.030887548
159,0.032203477
160,0.05310874
161,0.03266311
162,0.027408611
163,-0.0017467373
164,0.04189652
165,0.061307315
166,-0.06349049
167,0.017620033
168,0.040473916
169,-0.010829118
170,0.066060975
171,0.01757148
172,0.054957043
173,0.050745405
174,0.055204563
175,-0.07174064
176,0.031378467
177,0.1324102
178,0.056673948
179,0.021265958
180,0.021498753
181,-0.08148534
182,0.053438377
183,0.061650626
184,-0.084462315
185,-0.05590258
186,0.017879046
187,0.030993866
188,0.03663077
189,-0.035459932
190,0.07735079
191,-0.0011693792
192,0.022519764
193,-0.010673917
194,0.04609804
195,-0.073222235
196,0.027893793
197,0.06466548
198,0.04889273
199,0.030816326
200,0.017941492
201,-0.044237092
202,0.028114123
203,0.068052754
204,0.037239168
205,0.038607724
206,0.047158513
207,-0.012111717
208,0.041142803
209,0.029019985
210,0.05530736
211,0.021718446
212,0.055528313
213,0.029560506
214,-0.09834531
215,0.035514046
216,0.042983342
217,0.025330516
218,0.03957466
219,-0.01533037
220,0.039076567
221,0.036399204
222,0.009868839
223,-0.015327846
224,0.043715242
225,0.038383916
226,-0.07744004
227,0.06753914
228,0.042235438
229,0.027351504
230,-0.04544877
231,-0.00026374366
232,0.04076868
233,0.026580265
234,0.039719615
235,0.011565263
236,0.017506042
237,0.04868261
238,0.048434176
239,-0.072758384
240,-0.06981564
241,0.07187363
242,0.0058969744
243,-0.031500146
244,-0.044402003
245,-0.04925938
246,0.042236023
247,-0.011602849
248,0.02854367
249,-0.058018167
250,0.054399073
251,-0.109807685
252,-0.05014299
253,0.04924474
254,-0.006793184
255,0.047573444
256,-0.05046981
257,0.014451064
258,0.03355557
259,0.04665456
260,-0.058385555
261,0.030356776
262,0.040956084
263,0.02399296
264,0.016771453
265,0.037524212
266,-0.044457152
267,0.03897785
268,-0.016850183
269,0.021661934
270,0.056499064
271,0.0332332
272,-0.04647306
273,0.033363592
274,0.014006656
275,0.002341102
276,-0.023866491
277,0.07446467
278,0.004969256
279,0.06403295
280,-0.0043840776
281,0.011262142
282,0.019606238
283,0.05469218
284,-0.009009481
285,-0.07092764
286,0.021423103
287,0.059526704
288,0.021799915
289,0.028779557
290,0.021910435
291,-0.041737664
292,0.030792538
293,0.017115852
294,0.073674805
295,-0.05809512
296,0.015139705
297,0.02569363
298,0.02447904
299,-0.044524413
300,0.0125360945
301,-0.02458341
302,0.075123906
303,0.07528242
304,-0.006855445
305,-0.07796218
306,-0.057371516
307,-0.029009413
308,0.0681132
309,0.05551064
310,0.038382143
311,0.017677393
312,-0.09108246
313,0.0059046946
314,0.0022709868
315,-0.05610236
316,0.035489615
317,-0.011648735
318,-0.06998237
319,-0.0010418126
320,0.08321117
321,0.08633488
322,-0.064444706
323,-0.04127374
324,-0.034638166
325,-0.04399976
326,0.027752925
327,0.03509643
328,0.0016052363
329,-0.043651804
330,-0.023429617
331,-0.053209044
332,0.030527558
333,-0.04224691
334,0.025609355
335,0.01351748
336,-0.0074144024
337,0.011762214
338,0.040678944
339,0.030607514
340,0.025477465
341,-0.02513154
342,0.067563124
343,0.03125721
344,0.035394616
345,0.05031725
346,0.045353625
347,-0.056027498
348,0.0041914117
349,-0.045456756
350,-0.014259316
351,-0.04921668
352,0.03841728
353,0.018005818
354,0.0597181
355,-0.055206534
356,0.05095952
357,0.06970685
358,0.024793819
359,0.038248155
360,0.0074720103
361,0.01450666
362,-0.0339985
363,-0.0033260055
364,0.025984017
365,0.02923204
366,0.051885948
367,0.07381033
368,0.0941324
369,0.0086134635
370,-0.030623125
371,0.0049361764
372,-0.047247093
373,0.057862297
374,0.01863526
375,-0.040407542
376,0.0067571313
377,-0.0143014025
378,-0.02472697
379,0.09762896
380,-0.065760076
381,0.003295886
382,0.04406813
383,0.029081581
384,0.008820215
385,-0.015373079
386,0.04289116
387,-0.04626956
388,-0.028562654
389,0.03187476
390,-0.05510255
391,-0.0028420629
392,-0.02750315
393,-0.04619789
394,0.07433043
395,0.04471855
396,-0.016406825
397,0.022735765
398,0.061512507
399,0.04557831
400,0.038127888
401,-0.05112965
402,-0.046534218
403,-0.048290044
404,0.06342575
405,-0.08722458
406,-0.0058220727
407,0.0687849
408,-0.04331205
409,-0.02367025
410,0.016541626
411,-0.05670424
412,0.061077897
413,0.044721987
414,0.018036298
415,0.08218398
416,-0.045259427
417,-0.047332786
418,-0.011050226
419,-0.018162096
420,-0.06362458
421,-0.008670988
422,0.082399055
423,-0.031127768
424,0.020134974
425,0.11139756
426,0.022161057
427,0.0052382187
428,-0.03600533
429,-0.032602657
430,0.051203396
431,-0.07170944
432,-0.059359204
433,-0.031406485
434,0.016010856
435,-0.031071924
436,-0.04192084
437,0.081428565
438,-0.05384931
439,-0.06634682
440,0.03183586
441,0.079819955
442,-0.04282238
443,-0.007618939
444,-0.04539142
445,-0.0027765702
446,-0.06962334
447,-0.016434604
448,0.009968527
449,-0.07131847
450,-0.068117574
451,-0.07321782
452,-0.034080684
453,-0.019165235
454,-0.03695376
455,0.026950354
456,-0.031983048
457,0.046707645
458,-0.03969215
459,0.043578163
460,0.06123943
461,0.02767537
462,-0.04770274
463,0.0362349
464,-0.031224942
465,0.039617993
466,0.016564718
467,-0.032290507
468,0.047571156
469,0.016272157
470,-0.0983946
471,-0.026745368
472,-0.060495272
473,0.03407382
474,-0.0047423807
475,-0.016035981
476,-0.059391785
477,-0.04424506
478,0.0071916203
479,-0.04969076
480,-0.004110347
481,0.025996095
482,0.060958855
483,0.0302107
484,-0.04155194
485,-0.012608194
486,0.048403785
487,-0.05205061
488,0.031318046
489,0.023235032
490,0.012805765
491,0.02346844
492,0.08636291
493,0.012859301
494,0.0012903578
495,0.07911244
496,-0.069933355
497,0.006783708
498,-0.063781984
