Sno,Weight
0,0.107172005
1,0.040280707
2,0.025058785
3,-0.15233508
4,0.013943631
5,0.024152497
6,0.0075114802
7,0.013189258
8,0.0064349696
9,-0.01558935
10,-0.06948451
11,-0.07481544
12,0.004918028
13,-0.068116225
14,-0.21274388
15,0.04483684
16,-0.08609275
17,-0.03777067
18,0.046196956
19,-0.06407373
20,-0.00896029
21,0.023788722
22,-0.10716025
23,0.09347032
24,-0.029491024
25,-0.028975178
26,-0.014739746
27,0.036770746
28,0.0878568
29,0.019453587
30,-0.018701054
31,0.12616275
32,-0.094176464
33,0.10537188
34,0.009280803
35,-0.020687003
36,-0.046540093
37,-0.1501493
38,0.0122792795
39,-0.027335014
40,-0.10415601
41,0.10588893
42,0.11561562
43,-0.026290402
44,0.06487034
45,0.055728875
46,0.052062273
47,0.00324213
48,0.08446469
49,-0.11566585
50,0.04872053
51,-0.07915692
52,-0.028496461
53,0.0903969
54,0.10846672
55,-0.019228047
56,0.042628348
57,0.029978799
58,-0.06978776
59,0.06607691
60,-0.031489257
61,-0.04846596
62,-0.020183316
63,0.075873464
64,-0.14693034
65,0.07177785
66,-0.0071462844
67,-0.032958735
68,0.0044545005
69,0.06481115
70,0.07280728
71,0.00884703
72,0.16633447
73,-0.03646176
74,0.02802526
75,0.0093565425
76,-0.020827217
77,-0.15951212
78,-0.20941605
79,0.049194477
80,0.067547716
81,0.065366514
82,0.0062846476
83,0.017624408
84,0.0053183455
85,-0.13741148
86,-0.060809795
87,0.06182514
88,-0.054837387
89,0.08340245
90,0.0875461
91,-0.00929211
92,0.0636429
93,-0.005234857
94,-0.021696012
95,0.011487007
96,0.049755417
97,0.02593284
98,0.026356606
99,-0.075046465
100,0.0050158277
101,-0.017092211
102,-0.013299035
103,0.09355348
104,0.05951945
105,-0.11263063
106,-0.22435431
107,-0.044019543
108,0.009432228
109,0.019703995
110,-0.0029387523
111,-0.06540607
112,-0.021912208
113,-0.049465578
114,-0.017267244
115,-0.069019906
116,-0.026175397
117,-0.05633126
118,-0.044821616
119,-0.078944065
120,-0.17603627
121,-0.10542175
122,-0.0942749
123,-0.0077873264
124,-0.01230116
125,-0.09203877
126,0.001995602
127,0.01873801
128,0.09632272
129,0.10274456
130,0.090373784
131,-0.024087675
132,0.0059821177
133,-0.06216222
134,-0.034663275
135,-0.14821273
136,-0.027353058
137,0.04903413
138,-0.07857381
139,-0.040128477
140,0.024682047
141,-0.08401843
142,-0.15377448
143,0.09028483
144,0.060585134
145,-0.20930718
146,0.0925587
147,-0.006931752
148,-0.055343397
149,0.004501079
150,0.039026905
151,0.13511081
152,-0.027212039
153,-0.15304796
154,-0.13221954
155,0.06463457
156,0.09168959
157,-0.06576743
158,-0.004172769
159,0.027160587
160,-0.045503795
161,0.103557505
162,0.013299368
163,0.009647307
164,0.034485612
165,0.0004161122
166,-0.06015246
167,-0.08384969
168,-0.145148
169,0.17369083
170,0.109758355
171,-0.11079734
172,0.11052875
173,0.022385597
174,0.064846426
175,-0.041517336
176,0.16803174
177,0.037553824
178,-0.0062156473
179,-0.028552871
180,-0.18360183
181,0.092269905
182,0.029871572
183,0.022624299
