Episode,Weight
0,-0.04454648
1,0.024861721
2,-0.029989975
3,-0.033113156
4,0.07407308
5,-0.1095662
6,0.032238603
7,0.03186068
8,-0.047237568
9,0.05538181
10,0.05039712
11,0.041091274
12,-0.0010771645
13,-0.0037308112
14,0.058167297
15,-0.039119646
16,-0.0060478924
17,-0.030760836
18,0.0041441554
19,0.041400313
20,-0.03546292
21,-0.021000417
22,-0.0058291806
23,0.05826701
24,0.03743982
25,-0.04391436
26,-0.024550742
27,0.041305255
28,0.03731973
29,-0.02507642
30,0.04880761
31,0.011647708
32,-0.0023379147
33,-0.052813537
34,-0.040542953
35,-0.006685213
36,-0.035032783
37,0.047712497
38,0.037246045
39,0.04080976
40,-0.039268754
41,-0.059662435
42,-0.042227823
43,0.09671494
44,-0.029112935
45,0.026298406
46,-0.0096424585
47,0.038510744
48,0.03538821
49,-0.018618984
50,-0.033766463
51,-0.003939388
52,0.03186343
53,0.020067599
54,0.018962089
55,0.043152377
56,-0.05568646
57,0.033596795
58,0.018609934
59,-0.10294071
60,-0.027502984
61,-0.07414144
62,0.023108931
63,-0.011904634
64,0.035300434
65,0.06234431
66,0.024626771
67,0.021629771
68,0.024969095
69,-0.006602956
70,-0.023137843
71,-0.05266955
72,-0.06630848
73,0.018691896
74,0.040518515
75,0.027829014
76,-0.023980936
77,0.060763177
78,-0.03965072
79,-0.07117079
80,0.03279672
81,0.061756
82,-0.032266017
83,0.053734683
84,0.039638776
85,-0.051013973
86,0.038738962
87,0.009207202
88,-0.054649066
89,0.035912775
90,0.046697
91,0.020325422
92,0.027683973
93,0.031753905
94,-0.023556579
95,0.04242115
96,-0.013076906
97,0.049289558
98,0.033577856
99,-0.05388415
100,0.026541574
101,-0.014823075
102,0.025952328
103,-0.019892558
104,-0.044664007
105,-0.014454051
106,-0.13834272
107,0.015994372
108,0.013092072
109,0.027810995
110,-0.003091243
111,-0.0071150204
112,-0.025985064
113,0.042430658
114,0.018227164
115,-0.06268484
116,-0.029371923
117,0.032143127
118,0.04258387
119,-0.046614587
120,-0.035117973
121,0.06709087
122,0.033934303
123,-0.06430941
124,-0.00016405713
125,-0.06088043
126,-0.036254443
127,-0.10013939
128,-0.044736203
129,0.016902303
130,0.0077847885
131,0.0078015057
132,0.018502522
133,-0.10910717
134,0.025260191
135,0.015759746
136,0.03609152
137,0.034000527
138,-0.024060091
139,0.05179659
140,0.031194301
141,0.014407112
142,-0.019343762
143,0.07530444
144,-0.022591287
145,0.05040199
146,0.07833482
147,0.0309743
148,0.011497214
149,-0.06695551
150,0.041137382
151,-0.07275726
152,0.041031893
153,0.04361093
154,-0.03950267
155,0.018253354
156,0.053817477
157,-0.05796879
158,0.011814416
159,0.012084251
160,-0.0027088148
161,0.03333848
162,0.035944
163,-0.005907055
164,-0.061846122
165,-0.073673144
166,0.030129187
167,0.013333331
168,0.09736973
169,-0.008101448
170,-0.035967544
171,0.024968911
172,-0.002582216
173,0.057707395
174,-0.0058237202
175,0.021326188
176,0.043483794
177,-0.07190218
178,0.008094294
179,-0.011025065
180,0.0053599724
181,0.05363014
182,0.057597443
183,0.04311891
184,0.04796861
185,0.056120787
186,0.049815662
187,-0.1032607
188,0.05850757
189,0.02341925
190,0.047144674
191,-0.0001669328
192,0.045439098
193,-0.010874539
194,0.007645195
195,0.06636006
196,-0.0049332003
197,-0.05841619
198,-0.023275796
199,-0.015216634
200,0.014630577
201,0.024577774
202,0.056566473
203,0.037401456
204,-0.0068738754
205,-0.05763834
206,0.021784566
207,0.0032176806
208,0.03211772
209,-0.06481484
210,-0.031804033
211,-0.062376622
212,0.06763186
213,0.041327357
214,0.05773831
215,0.044503644
216,-0.0058195735
217,0.021932987
218,0.042407032
219,0.040607043
220,0.03290585
221,0.014603592
222,0.052636266
223,-0.07729948
224,-0.017470809
225,0.04510491
226,0.047311053
227,0.03008117
228,0.04848045
229,-0.053698868
230,0.050774485
231,0.055413116
232,-0.03468696
233,0.038482748
234,0.1929931
235,0.03166815
236,0.05075974
237,-0.085701615
238,0.074903995
239,0.041641913
240,0.049624555
241,0.028850298
242,0.041901223
243,-0.0014321882
244,0.067688346
245,0.027030962
246,0.036930252
247,0.043977257
248,0.007633596
249,0.019358002
250,-0.010107668
251,0.03029212
252,0.0574642
253,-0.00406665
254,0.017230466
255,-0.09962334
256,-0.04436474
257,-0.0043236283
258,0.044984378
259,0.030866258
260,-0.017264308
261,0.078854896
262,0.046831165
263,-0.024189545
264,0.032841064
265,-0.060394526
266,-0.060486503
267,-0.016371448
268,0.03312945
269,-0.010422526
270,0.0040576556
271,-0.039481808
272,-0.060507547
273,0.0011029062
274,-0.05079369
275,-0.035687275
276,0.01920772
277,0.089640066
278,0.016812138
279,-0.047169745
280,-0.010754226
281,0.02995454
282,0.07649417
283,0.0025622412
284,0.026279457
285,-0.058327083
286,-0.033586368
287,0.012814492
288,-0.009811395
289,0.002869532
290,0.006360247
291,-0.0068156184
292,-0.08025489
293,0.010784428
294,-0.021352166
295,0.021821251
296,-0.026134493
297,-0.009108663
298,-0.056677893
299,-0.011021625
300,0.03306861
301,0.008696994
302,-0.0041594775
303,0.028024552
304,-0.0053840475
305,-0.071830906
306,0.03283854
307,-0.0110104205
308,-0.041775696
309,0.025581714
310,-0.0037555275
311,0.015954275
312,0.016619721
313,-0.050347842
314,0.005965314
315,0.05828916
316,-0.045472715
317,0.034019075
318,-0.022781096
319,0.039113652
320,-0.018866569
321,0.010351727
322,0.008652969
323,-0.03498431
324,0.033467617
325,0.06064774
326,0.045380574
327,-0.051737174
328,0.04215383
329,0.0191666
330,-0.012084817
331,0.041940592
332,0.0016231787
333,-0.05853377
334,0.025131978
335,0.033208832
336,0.010703268
337,-0.016080298
338,0.009382257
339,0.038167726
340,-0.010780051
341,0.06047581
342,0.047326993
343,0.024928795
344,-0.0055902964
345,0.019201107
346,0.0056895395
347,0.035182443
348,0.025466824
349,0.028730618
350,0.04298653
351,-0.05561523
352,-0.013185252
353,0.012657594
354,-0.0067225355
355,-0.06413197
356,-0.0012806642
357,0.057220742
358,0.019497331
359,-0.027050974
360,0.05775206
